id,brand_name,generic_name,active_ingredient,inactive_ingredient,indications_and_usage,warnings,adverse_reactions,dosage_and_administration,manufacturer_name,storage_and_handling,product_ndc,route,do_not_use
1,Panacet,Acetaminophen,Acetaminophen,"Magnesium stearate, Talc","Relieves mild to moderate pain and reduces fever","Liver damage if overdosed","Skin rash, hives, difficulty breathing","500 mg every 4-6 hours as needed",MedCare Pharmaceuticals,"Store at room temperature (20-25°C)",12345-6789,Oral,"Do not use with other acetaminophen-containing drugs"
2,AllerFree,Cetirizine,Cetirizine HCl,"Microcrystalline cellulose, Lactose","Relieves allergy symptoms such as sneezing, runny nose","Drowsiness, avoid alcohol use","Drowsiness, dry mouth, fatigue","10 mg once daily",ClearHealth Inc.,"Store below 30°C, protect from light",98765-4321,Oral,"Do not use if allergic to hydroxyzine or any of the ingredients"
3,GastroFix,Omeprazole,Omeprazole,"Sodium hydroxide, Mannitol","Treats acid reflux, ulcers, and heartburn","Long-term use may cause low magnesium levels","Diarrhea, nausea, stomach pain","20 mg once daily for 14 days",CureWell Pharma,"Store in a cool, dry place",56789-1234,Oral,"Do not use for more than 14 days without doctor consultation"
4,Ventolin,Albuterol,Albuterol sulfate,"Benzalkonium chloride, Edetate","Relieves bronchospasm in people with asthma","Increased heart rate, caution in heart disease","Tremors, nervousness, palpitations","2 puffs every 4-6 hours as needed",BreathEasy Labs,"Store at 15-30°C, avoid freezing",11223-4455,Inhalation,"Do not use more frequently than prescribed"
5,Diabetol,Metformin,Metformin HCl,"Povidone, Hypromellose","Controls high blood sugar in people with type 2 diabetes","Lactic acidosis warning","Diarrhea, nausea, metallic taste","500 mg twice daily with meals",Global Pharma,"Store at room temperature (20-25°C)",99887-1234,Oral,"Do not use if you have severe kidney disease"
6,Dermacare,Hydrocortisone,Hydrocortisone,"Cetyl alcohol, Propylene glycol","Relieves itching, redness, and swelling of the skin","Avoid prolonged use on the face","Skin irritation, burning, dryness","Apply a thin layer to the affected area 2-4 times daily",SkinPro Labs,"Store at room temperature, protect from light",44556-7890,Topical,"Do not use on open wounds or infected skin"
7,CalciPlus,Calcium carbonate,Calcium carbonate,"Corn starch, Maltodextrin","Treats and prevents calcium deficiency","Risk of kidney stones with prolonged use","Constipation, gas, nausea","500 mg twice daily",HealthFirst Nutrition,"Store in a cool, dry place",33445-6677,Oral,"Do not use if you have high calcium levels in the blood"
8,NeuroCalm,Diazepam,Diazepam,"Gelatin, Starch, Titanium dioxide","Treats anxiety, muscle spasms, and seizures","Risk of dependency with long-term use","Drowsiness, dizziness, tiredness","5 mg 2-4 times daily",Serenity Pharmaceuticals,"Store at room temperature (15-30°C)",22334-5566,Oral,"Do not use if you have severe liver disease or breathing problems"
9,CoughEase,Dextromethorphan,Dextromethorphan,"Sucrose, Menthol, Citric acid","Temporarily relieves cough due to minor throat and bronchial irritation","Do not exceed recommended dosage","Nausea, dizziness, drowsiness","10 mL every 4 hours as needed",Respira Healthcare,"Store at room temperature (20-25°C)",77889-1122,Oral,"Do not use if you are taking MAO inhibitors"
10,Z-Pak,Azithromycin,Azithromycin,"Sodium phosphate, Lactose","Treats bacterial infections","May cause allergic reactions, QT prolongation","Diarrhea, stomach pain, vomiting","500 mg on day 1, then 250 mg once daily for 4 days",AntiBac Pharma,"Store below 30°C, protect from light",55667-2234,Oral,"Do not use if allergic to macrolide antibiotics"
